provience,25-04-2020,26-04-2020,27-04-2020,28-04-2020
1,4160,4308,4545,4828
2,5044,5141,5208,5249
3,7467,7591,7826,8014
4,4871,4924,4924,4936
5,2950,3326,3471,3528
6,4974,4974,5128,5181
7,10204,11172,11961,12283
